ring_id,vertex_id,x,y
0,184,-58.5270966048386,-294.235584120969
0,185,-51.2885666280905,-295.583292716682
0,186,-44.0191423366087,-296.752952989434
0,187,-36.7232025597648,-297.743860379613
0,188,-29.4051420988681,-298.555418001659
0,189,-22.0693690799002,-299.187137003607
0,190,-14.7203022982254,-299.638636861552
0,191,-7.36236855687372,-299.909645608861
0,192,-5.51091059616309e-14,-300
0,193,7.36236855687361,-299.909645608861
0,194,14.7203022982253,-299.638636861552
0,195,22.0693690799001,-299.187137003607
0,196,29.405142098868,-298.555418001659
0,197,36.7232025597647,-297.743860379613
0,198,44.0191423366086,-296.752952989434
0,199,51.2885666280904,-295.583292716682
0,200,58.5270966048385,-294.235584120969
0,201,65.7303720470609,-292.710639011559
0,202,72.8940539709791,-291.009375958363
0,203,80.0138272424695,-289.132819738632
0,204,87.0854031763386,-287.082100719663
0,205,94.1045221196673,-284.858454177911
0,206,101.066956017666,-282.463219554906
0,207,107.968510960496,-279.897839650422
0,208,114.805029709527,-277.163859753386
0,209,121.572394201497,-274.262926711059
0,210,128.266528029085,-271.196787937033
0,211,134.883398896382,-267.967290358655
0,212,141.419021047799,-264.576379304507
0,213,147.869457668935,-261.026097332613
0,214,154.230823257966,-257.318583000082
0,215,160.499285966129,-253.456069574912
0,216,166.671069905881,-249.440883690764
0,217,172.742457425353,-245.275443945475
0,218,178.70979134773,-240.962259444194
0,219,184.569477174188,-236.503928287982
0,220,190.317985249094,-231.903136008821
0,221,195.951852886133,-227.162653951945
0,222,201.467686454105,-222.285337606488
0,223,206.86216342112,-217.27412488544
0,224,212.132034355964,-212.132034355964
0,225,217.27412488544,-206.86216342112
0,226,222.285337606488,-201.467686454106
0,227,227.162653951945,-195.951852886133
0,228,231.903136008821,-190.317985249094
0,229,236.503928287982,-184.569477174188
0,230,240.962259444194,-178.70979134773
0,231,245.275443945475,-172.742457425354
0,232,249.440883690764,-166.671069905881
0,233,253.456069574912,-160.499285966129
0,234,257.318583000082,-154.230823257967
0,235,261.026097332613,-147.869457668935
0,236,264.576379304506,-141.419021047799
0,237,267.967290358655,-134.883398896382
0,238,271.196787937033,-128.266528029085
0,239,274.262926711059,-121.572394201497
0,240,277.163859753386,-114.805029709527
0,241,279.897839650422,-107.968510960496
0,242,282.463219554906,-101.066956017666
0,243,284.858454177911,-94.1045221196675
0,244,287.082100719663,-87.0854031763387
0,245,289.132819738632,-80.0138272424696
0,246,291.009375958363,-72.8940539709793
0,247,292.710639011559,-65.7303720470611
0,248,294.235584120969,-58.5270966048386
0,249,295.583292716682,-51.2885666280905
0,250,296.752952989434,-44.0191423366087
0,251,297.743860379613,-36.7232025597648
0,252,298.555418001659,-29.4051420988682
0,253,299.187137003607,-22.0693690799002
0,254,299.638636861552,-14.7203022982254
0,255,299.909645608861,-7.36236855687373
Total signed area in input: 2.827150e+05
Total signed area in output: 2.827150e+05
Total areal displacement: 0.000000e+00
